HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
HOME,Hooded Merganser,Lophodytes cucullatus,LOPCU
COME,Common Merganser,Mergus merganser,MERME
RBME,Red-breasted Merganser,Mergus serrator,MERSE
MADU,Masked Duck,Nomonyx dominicus,NOMDO
RUDU,Ruddy Duck,Oxyura jamaicensis,OXYJA
UNDU,Unidentified Duck,"Anatinae (gen, sp)",ANAGS
PLCH,Plain Chachalaca,Ortalis vetula,ORTVE
GHEC,Gray-headed Chachalaca,Ortalis cinereiceps,ORTCI
RVCH,Rufous-vented Chachalaca,Ortalis ruficauda,ORTRU
RBEC,Rufous-bellied Chachalaca,Ortalis wagleri,ORTWA
WMCH,West Mexican Chachalaca,Ortalis poliocephala,ORTPO
WBCH,White-bellied Chachalaca,Ortalis leucogastra,ORTLE
CRGU,Crested Guan,Penelope purpurascens,PENPU
BLAG,Black Guan,Chamaepetes unicolor,CHAUN
HIGU,Highland Guan,Penelopina nigra,PENNI
HOGU,Horned Guan,Oreophasis derbianus,OREDE
GRCU,Great Curassow,Crax rubra,CRARU
HELG,Helmeted Guineafowl,Numida meleagris,NUMME
TFQU,Tawny-faced Quail,Rhynchortyx cinctus,RHYCI
MOUQ,Mountain Quail,Oreortyx pictus,OREPI
BCWP,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,DENLE
LTWP,Long-tailed Wood-Partridge,Dendrortyx macroura,DENMA
BEWP,Bearded Wood-Partridge,Dendrortyx barbatus,DENBA
BAQU,Banded Quail,Philortyx fasciatus,PHIFA
NOBO,Northern Bobwhite,Colinus virginianus,COLVIR
BTBO,Black-throated Bobwhite,Colinus nigrogularis,COLNIG
CRBO,Crested Bobwhite,Colinus cristatus,COLCRI
SPBO,Spot-bellied Bobwhite,Colinus leucopogon,COLLEU
SCQU,Scaled Quail,Callipepla squamata,CALSQU
ELQU,Elegant Quail,Callipepla douglasii,CALDOU
CAQU,California Quail,Callipepla californica,CALCAF,
GAQU,Gambel's Quail,Callipepla gambelii,CALGAM
MONQ,Montezuma Quail,Cyrtonyx montezumae,CYRMON
OCQU,Ocellated Quail,Cyrtonyx ocellatus,CYROCE
SIQU,Singing Quail,Dactylortyx thoracicus,DACTHO
MAWQ,Marbled Wood-Quail,Odontophorus gujanensis,ODOGUJ
BEWQ,Black-eared Wood-Quail,Odontophorus melanotis,ODOMEL
TAWQ,Tacarcuna Wood-Quail,Odontophorus dialeucos,ODODIA
BBWQ,Black-breasted Wood-Quail,Odontophorus leucolaemus,ODOLEU
SPWQ,Spotted Wood-Quail,Odontophorus guttatus,ODOGUT
WITU,Wild Turkey,Meleagris gallopavo,MELGAL
OCTU,Ocellated Turkey,Meleagris ocellata,MELOCE
RUGR,Ruffed Grouse,Bonasa umbellus,BONUMB
SPGR,Spruce Grouse,Canachites canadensis,CANCAN
WIPT,Willow Ptarmigan,Lagopus lagopus,LAGLAG
ROPT,Rock Ptarmigan,Lagopus muta,LAGMUT
WTPT,White-tailed Ptarmigan,Lagopus leucura,LAGLEU
GRSG,Greater Sage-Grouse,Centrocercus urophasianus,CENURO
GUSG,Gunnison Sage-Grouse,Centrocercus minimus,CENMIN
DUGR,Dusky Grouse,Dendragapus obscurus,DENOBS
SOGR,Sooty Grouse,Dendragapus fuliginosus,DENFUU,
STGR,Sharp-tailed Grouse,Tympanuchus phasianellus,TYMPHA
GRPC,Greater Prairie-Chicken,Tympanuchus cupido,TYMCUP
LEPC,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,TYMPAL
GRAP,Gray Partridge,Perdix perdix,PERPER
RNEP,Ring-necked Pheasant,Phasianus colchicus,PHACOL
KAPH,Kalij Pheasant,Lophura leucomelanos,LOPLEU
INPE,Indian Peafowl,Pavo cristatus,PAVCRI
GRAF,Gray Francolin,Ortygornis pondicerianus,ORTPON
BLFR,Black Francolin,Francolinus francolinus,FRAFRA
REJU,Red Junglefowl,Gallus gallus,GALGAS,
HISN,Himalayan Snowcock,Tetraogallus himalayensis,TETHIM
CHUK,Chukar,Alectoris chukar,ALECHU
JAQU,Japanese Quail,Coturnix japonica,COTJAP
ERFR,Erckel's Francolin,Pternistis erckelii,PTEERC
AMFL,American Flamingo,Phoenicopterus ruber,PHORUB
LEGR,Least Grebe,Tachybaptus dominicus,TACDOM
PBGR,Pied-billed Grebe,Podilymbus podiceps,PODPOD
ATGR,Atitlan Grebe,Podilymbus gigas,PODGIG
HOGR,Horned Grebe,Podiceps auritus,PODAUR
RNGR,Red-necked Grebe,Podiceps grisegena,PODGRI
EAGR,Eared Grebe,Podiceps nigricollis,PODNIG
WEGR,Western Grebe,Aechmophorus occidentalis,AECOCC
WCGR,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,AECOCL,
CLGR,Clark's Grebe,Aechmophorus clarkii,AECCLA
CBSA,Chestnut-bellied Sandgrouse,Pterocles exustus,PTEEXU
ROPI,Rock Pigeon,Columba livia,COLLIV
CWPI,Common Wood Pigeon,Columba palumbus,COLPAL
PAPI,Passenger Pigeon,Ectopistes migratorius,ECTMIG
PVPI,Pale-vented Pigeon,Patagioenas cayennensis,PATCAY
SCPI,Scaled Pigeon,Patagioenas speciosa,PATSPE
SNPI,Scaly-naped Pigeon,Patagioenas squamosa,PATSQU
WCPI,White-crowned Pigeon,Patagioenas leucocephala,PATLEU
RBPI,Red-billed Pigeon,Patagioenas flavirostris,PATFLA
PLAP,Plain Pigeon,Patagioenas inornata,PATINO
PRPP,Puerto Rican Plain Pigeon,Patagioenas inornata wetmorei,PATINW
BTPI,Band-tailed Pigeon,Patagioenas fasciata,PATFAS
RTAP,Ring-tailed Pigeon,Patagioenas caribaea,PATCAR
PLUP,Plumbeous Pigeon,Patagioenas plumbea,PATPLU
RUDP,Ruddy Pigeon,Patagioenas subvinacea,PATSUB
SBPI,Short-billed Pigeon,Patagioenas nigrirostris,PATNIG
DUPI,Dusky Pigeon,Patagioenas goodsoni,PATGOO
ORTD,Oriental Turtle-Dove,Streptopelia orientalis,STRORI
AFCD,African Collared-Dove,Streptopelia roseogrisea,STRROS
EUTD,European Turtle-Dove,Streptopelia turtur,STRTUR
EUCD,Eurasian Collared-Dove,Streptopelia decaocto,STRDEC
SPDO,Spotted Dove,Streptopelia chinensis,STRCHI
ZEBD,Zebra Dove,Geopelia striata,GEOSTR
INDO,Inca Dove,Columbina inca,COLINC
CGDO,Common Ground Dove,Columbina passerina,COLPAS
PBGD,Plain-breasted Ground Dove,Columbina minuta,COLMIN
RGDO,Ruddy Ground Dove,Columbina talpacoti,COLTAL
BGDO,Blue Ground Dove,Claravis pretiosa,CLAPRE
MCGD,Maroon-chested Ground Dove,Paraclaravis mondetoura,PARMOD,
BHQD,Blue-headed Quail-Dove,Starnoenas cyanocephala,STACYA
CRQD,Crested Quail-Dove,Geotrygon versicolor,GEOVER
RUQD,Ruddy Quail-Dove,Geotrygon montana,GEOMON
VIQD,Violaceous Quail-Dove,Geotrygon violacea,GEOVIO
GFQD,Gray-fronted Quail-Dove,Geotrygon caniceps,GEOCAN
WFRQ,White-fronted Quail-Dove,Geotrygon leucometopia,GEOLEU
KWQD,Key West Quail-Dove,Geotrygon chrysia,GEOCHR
BRQD,Bridled Quail-Dove,Geotrygon mystacea,GEOMYS
OBQD,Olive-backed Quail-Dove,Leptotrygon veraguensis,LEPVEG,
WTDO,White-tipped Dove,Leptotila verreauxi,LEPVEX,
